map01100 Metabolic pathways (2020)

  ko:K00266 gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
  ko:K00270 pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
  ko:K00271 vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
  ko:K00273 DAO; D-amino-acid oxidase [EC:1.4.3.3]
  ko:K00274 MAO; monoamine oxidase [EC:1.4.3.4]
  ko:K00275 pdxH; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
  ko:K00276 AOC3; primary-amine oxidase [EC:1.4.3.21]
  ko:K00278 nadB; L-aspartate oxidase [EC:1.4.3.16]
  ko:K00281 GLDC; glycine dehydrogenase [EC:1.4.4.2]
  ko:K00282 gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
  ko:K00283 gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
  ko:K00285 dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
  ko:K00286 proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
  ko:K00287 DHFR; dihydrofolate reductase [EC:1.5.1.3]
  ko:K00288 MTHFD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
  ko:K00290 LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
  ko:K00293 LYS9; saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]
  ko:K00294 E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
  ko:K00297 metF; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
  ko:K00299 ssuE; FMN reductase [EC:1.5.1.38]
  ko:K00301 E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]
  ko:K00302 soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.24 1.5.3.1]
  ko:K00303 soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]
  ko:K00304 soxD; sarcosine oxidase, subunit delta [EC:1.5.3.24 1.5.3.1]
  ko:K00305 soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]
  ko:K00309 dmg; dimethylglycine oxidase [EC:1.5.3.10]
  ko:K00314 SARDH; sarcosine dehydrogenase [EC:1.5.8.3]
  ko:K00315 DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]
  ko:K00316 spdH; spermidine dehydrogenase [EC:1.5.99.6]
  ko:K00317 dmd-tmd; dimethylamine/trimethylamine dehydrogenase [EC:1.5.8.1 1.5.8.2]
  ko:K00318 PRODH; proline dehydrogenase [EC:1.5.5.2]
  ko:K00320 mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]
  ko:K00322 sthA; NAD(P) transhydrogenase [EC:1.6.1.1]
  ko:K00324 pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
  ko:K00325 pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
  ko:K00330 nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]
  ko:K00331 nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]
  ko:K00332 nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]
  ko:K00333 nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]
  ko:K00334 nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
  ko:K00335 nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
  ko:K00336 nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]
  ko:K00337 nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]
  ko:K00338 nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]
  ko:K00339 nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]
  ko:K00340 nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]
  ko:K00341 nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]
  ko:K00342 nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]
  ko:K00343 nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]
  ko:K00355 NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  ko:K00360 nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
  ko:K00362 nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]
  ko:K00363 nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]
  ko:K00364 guaC; GMP reductase [EC:1.7.1.7]
  ko:K00365 uaZ; urate oxidase [EC:1.7.3.3]
  ko:K00366 nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]
  ko:K00367 narB; ferredoxin-nitrate reductase [EC:1.7.7.2]
  ko:K00368 nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
  ko:K00370 narG; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
  ko:K00371 narH; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
  ko:K00372 nasC; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
  ko:K00374 narI; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
  ko:K00376 nosZ; nitrous-oxide reductase [EC:1.7.2.4]
  ko:K00380 cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
  ko:K00381 cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
  ko:K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
  ko:K00383 GSR; glutathione reductase (NADPH) [EC:1.8.1.7]
  ko:K00385 asrC; anaerobic sulfite reductase subunit C
  ko:K00386 sorB; sulfite dehydrogenase (cytochrome) subunit B [EC:1.8.2.1]
  ko:K00387 SUOX; sulfite oxidase [EC:1.8.3.1]
  ko:K00390 cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
  ko:K00392 sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]
  ko:K00394 aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]
  ko:K00395 aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]
  ko:K00399 mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]
  ko:K00400 methyl coenzyme M reductase system
  ko:K00404 ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]
  ko:K00405 ccoO; cytochrome c oxidase cbb3-type subunit II
  ko:K00406 ccoP; cytochrome c oxidase cbb3-type subunit III
  ko:K00407 ccoQ; cytochrome c oxidase cbb3-type subunit IV
  ko:K00410 fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit
  ko:K00411 UQCRFS1; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]
  ko:K00412 CYTB; ubiquinol-cytochrome c reductase cytochrome b subunit
  ko:K00413 CYC1; ubiquinol-cytochrome c reductase cytochrome c1 subunit
  ko:K00423 E1.10.3.3; L-ascorbate oxidase [EC:1.10.3.3]
  ko:K00432 gpx; glutathione peroxidase [EC:1.11.1.9]
  ko:K00435 hemQ; hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]
  ko:K00440 frhA; coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]
  ko:K00441 frhB; coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]
  ko:K00442 frhD; coenzyme F420 hydrogenase subunit delta
  ko:K00443 frhG; coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]
  ko:K00446 dmpB; catechol 2,3-dioxygenase [EC:1.13.11.2]
  ko:K00448 pcaG; protocatechuate 3,4-dioxygenase, alpha subunit [EC:1.13.11.3]
  ko:K00449 pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]
  ko:K00450 E1.13.11.4; gentisate 1,2-dioxygenase [EC:1.13.11.4]
  ko:K00451 HGD; homogentisate 1,2-dioxygenase [EC:1.13.11.5]
  ko:K00452 HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]
  ko:K00453 TDO2; tryptophan 2,3-dioxygenase [EC:1.13.11.11]
  ko:K00455 hpaD; 3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
  ko:K00457 HPD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
  ko:K00459 ncd2; nitronate monooxygenase [EC:1.13.12.16]
  ko:K00460 ALOX15; arachidonate 15-lipoxygenase [EC:1.13.11.33]
  ko:K00462 bphC; biphenyl-2,3-diol 1,2-dioxygenase [EC:1.13.11.39]
  ko:K00463 IDO; indoleamine 2,3-dioxygenase [EC:1.13.11.52]
  ko:K00466 iaaM; tryptophan 2-monooxygenase [EC:1.13.12.3]
  ko:K00467 E1.13.12.4; lactate 2-monooxygenase [EC:1.13.12.4]
  ko:K00468 davB; lysine 2-monooxygenase [EC:1.13.12.2]
  ko:K00471 BBOX1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]
  ko:K00472 P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
  ko:K00479 gbcA; glycine betaine monooxygenase A [EC:1.14.13.251]
  ko:K00480 E1.14.13.1; salicylate hydroxylase [EC:1.14.13.1]
  ko:K00481 pobA; p-hydroxybenzoate 3-monooxygenase [EC:1.14.13.2]
  ko:K00483 hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
  ko:K00484 hpaC; flavin reductase (NADH) [EC:1.5.1.36]
  ko:K00485 FMO; dimethylaniline monooxygenase (N-oxide forming) / hypotaurine monooxygenase [EC:1.14.13.8 1.8.1.-]
  ko:K00486 KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]
